word,count
the,128
you,114
it,91
there,50
a,43
that's,30
to,30
put,27
that,26
are,25
in,25
I,23
it's,23
let's,21
now,21
this,21
right,19
want,19
here,18
is,18
mhm,17
on,17
over,17
your,17
and,16
do,16
turn,16
don't,15
fell,15
okay,15
oops,15
what,15
all,14
can,14
oh,14
for,13
going,13
gonna,13
there's,13
train,13
donkey,12
down,12
no,12
one,12
ride,12
see,12
together,12
way,12
where,12
you're,12
go,11
got,11
me,11
off,11
out,11
with,11
xxx,11
book,10
look,10
goes,9
mouse,9
ta,9
turtle,9
again,8
big,8
bridge,8
close,8
horse's,8
oof,8
think,8
around,7
back,7
car,7
have,7
he,7
head,7
peekaboo,7
seesaw,7
some,7
too,7
we,7
I'll,6
fix,6
men,6
not,6
putting,6
they,6
very,6
Peter,5
baby,5
doggie,5
finished,5
have_to,5
heavy,5
here's,5
more,5
open,5
or,5
play,5
suitcase,5
take,5
under,5
wheel,5
where's,5
bag,4
boys,4
did,4
doesn't,4
fit,4
give,4
good,4
hmm,4
how,4
know,4
leave,4
let,4
looking,4
make,4
read,4
slide,4
squeak,4
them,4
yeah,4
yes,4
Maxine's,3
Pat,3
airplane's,3
another,3
bet,3
blocks,3
blue,3
boy,3
bracelet,3
bring,3
feet,3
floor,3
foot,3
get,3
hammer,3
hear,3
help,3
him,3
horsie,3
house,3
just,3
like,3
man,3
nice,3
other,3
out_of,3
pieces,3
pocketbook,3
roll,3
so,3
suitcases,3
telescope,3
through,3
took,3
turning,3
upside,3
wait,3
we'll,3
why,3
Maxine,2
at,2
beside,2
bike,2
by,2
come,2
cow,2
didn't,2
does,2
empty,2
fall,2
far,2
find,2
finger,2
first,2
funny,2
huh,2
instead,2
keep,2
lamp,2
making,2
maybe,2
meow,2
mm,2
mommy's,2
my,2
need,2
of,2
one's,2
pat,2
piece,2
pushed,2
puzzle,2
riding,2
says,2
shall,2
should,2
show,2
side,2
something,2
stick,2
supposed,2
tag,2
things,2
truck,2
two,2
woof,2
would,2
wrist,2
you've,2
zoom,2
Godfather,1
I'm,1
Jennifer's,1
Judy,1
Paul,1
Pete,1
The,1
a_lot_of,1
about,1
airplane,1
apart,1
as,1
attach,1
away,1
awoh,1
backwards,1
ball,1
band,1
barn,1
boom,1
box,1
bringing,1
broken,1
bunny,1
but,1
byebye,1
can't,1
cap,1
careful,1
carpet,1
carry,1
carrying,1
cat,1
chair,1
closing,1
clothes,1
comes,1
couch,1
cover,1
crying,1
decided,1
direction,1
dog,1
doing,1
donkey's,1
downtown,1
dropped,1
else,1
eye,1
falling,1
fire,1
fitting,1
four,1
from,1
full,1
gently,1
getting,1
green,1
had,1
hall,1
hard,1
hat,1
having,1
his,1
hitting,1
idea,1
if,1
inside,1
it'll,1
junk,1
learn,1
lens,1
long,1
lots_of,1
man's,1
mean,1
mess,1
microphone,1
mommy,1
moo,1
near,1
numbers,1
opening,1
pack,1
part,1
patting,1
peek,1
pictures,1
place,1
pointing,1
print,1
propeller,1
pull,1
puppets,1
push,1
reading,1
really,1
reels,1
rubber,1
say,1
scary,1
seem,1
seems,1
she's,1
siren,1
sister,1
stopped,1
tail,1
taking,1
talk,1
thank_you,1
then,1
thing,1
those,1
three,1
throw,1
thumb,1
time,1
today,1
top,1
town,1
toys,1
trains,1
try,1
trying,1
turned,1
up,1
walking,1
wants,1
was,1
watch,1
watching,1
we're,1
well,1
what's,1
wheels,1
which,1
whole,1
will,1
window,1
working,1
writing,1
wrong,1
yellow,1
