word,count
you,235
the,172
it,111
I,109
a,98
that,90
what,88
okay,69
to,67
xxx,66
do,61
is,60
oh,58
gonna,52
that's,50
what's,47
in,46
don't,45
want,45
me,44
on,43
this,42
it's,39
mhm,39
think,38
right,36
can,35
see,34
and,32
are,31
well,31
there,29
one,28
she,28
where,28
your,28
like,24
did,23
go,23
have,23
of,22
here,21
where's,21
you're,21
doing,20
for,20
uhhuh,20
going,19
he,19
hmm,19
no,19
I'm,18
now,18
play,18
ride,18
up,18
her,17
not,17
she's,17
Pete,16
back,16
be,16
ta,16
with,16
about,15
good,15
just,15
who's,15
Peter,14
show,14
train,14
we,14
what're,14
Jennifer,13
Jenny,13
bike,13
chair,13
look,13
maybe,13
who,13
broken,12
choo,12
over,12
room,12
take,12
yeah,12
I'll,11
get,11
have_to,11
if,11
know,11
let,11
let's,11
put,11
they,11
all,10
another,10
away,10
book,10
draw,10
hi,10
need,10
some,10
can't,9
how,9
sit,9
so,9
something,9
too,9
was,9
why,9
yes,9
at,8
car,8
daddy,8
does,8
he's,8
horse,8
huh,8
little,8
other,8
out,8
write,8
ball,7
down,7
happy,7
help,7
looking,7
lunch,7
more,7
my,7
paper,7
run,7
say,7
shall,7
them,7
very,7
would,7
zoom,7
Mommy,6
any,6
barrels,6
big,6
books,6
but,6
bye,6
circle,6
comes,6
doesn't,6
else,6
guitar,6
him,6
home,6
living,6
or,6
pencil,6
picture,6
sing,6
there's,6
welcome,6
because,5
boy,5
careful,5
coat,5
cowboy,5
didn't,5
girl,5
girls,5
guess,5
man,5
mm,5
move,5
nice,5
should,5
those,5
tires,5
uh,5
walk,5
watch,5
we're,5
won't,5
writing,5
Brown,4
Charlie,4
Lois,4
Patsy's,4
after,4
awoh,4
baby,4
bed,4
been,4
better,4
break,4
color,4
come,4
crash,4
drum,4
finish,4
fix,4
glue,4
got,4
horsie,4
into,4
lady,4
later,4
make,4
mean,4
outside,4
pen,4
playing,4
pretty,4
railroad,4
remember,4
she'll,4
store,4
stuff,4
thank_you,4
then,4
they're,4
time,4
toys,4
way,4
we'll,4
went,4
were,4
where're,4
will,4
working,4
yep,4
Lucy,3
Sesame_street,3
afternoon,3
