word,count
you,193
the,179
what,135
it,119
that,92
a,76
I,68
is,65
to,59
do,57
juice,51
what's,48
this,47
see,46
Eric,43
are,42
look,42
here,41
man,40
no,39
that's,39
more,37
go,34
want,32
truck,31
car,30
one,30
he,29
oh,28
shall,28
there,28
in,27
put,27
did,24
dirty,23
get,23
let's,23
okay,23
going,22
and,20
at,20
it's,20
I'll,19
house,19
me,19
off,19
we,19
yyy,19
can,18
choo,18
fit,17
good,17
there's,17
for,16
under,16
doing,15
where,15
who,15
you're,15
another,14
book,14
have,14
make,14
noise,14
think,14
where's,14
I'm,13
clown,13
my,13
xxx,13
does,12
fix,12
got,12
lamb,12
on,12
out,12
ride,12
show,12
some,12
take,12
who's,12
down,11
goes,11
read,11
rides,11
they,11
toot,11
up,11
very,11
watch,11
bridge,10
he's,10
lives,10
train,10
wheel,10
boy,9
cry,9
don't,9
happened,9
little,9
over,9
slide,9
toys,9
your,9
all,8
baby,8
bed,8
big,8
bottle,8
find,8
here's,8
his,8
naughty,8
thank_you,8
them,8
took,8
will,8
with,8
away,7
be,7
cleaner,7
finish,7
gonna,7
hmm,7
like,7
not,7
of,7
right,7
sit,7
together,7
top,7
what'd,7
Eric's,6
come,6
foot,6
funny,6
give,6
hey,6
him,6
hit,6
know,6
let,6
start,6
tell,6
won't,6
yes,6
again,5
an,5
apple,5
blocks,5
bring,5
bunny,5
can't,5
didn't,5
else,5
giving,5
hello,5
help,5
how,5
hungry,5
mhm,5
nice,5
ready,5
rest,5
said,5
toy,5
way,5
went,5
apart,4
brought,4
build,4
eating,4
fell,4
floor,4
found,4
matter,4
mommy,4
other,4
riding,4
should,4
sitting,4
so,4
sun,4
try,4
we'll,4
whose,4
about,3
any,3
around,3
bag,3
ball,3
bang,3
bees,3
behind,3
bird,3
birds,3
block,3
books,3
boys,3
broken,3
but,3
byebye,3
candy,3
castle,3
chair,3
cup,3
daddy,3
dancing,3
drinking,3
eat,3
fall,3
fish,3
guess,3
hear,3
if,3
later,3
lying,3
machine,3
maybe,3
must,3
or,3
phone,3
raccoon,3
saying,3
says,3
store,3
turn,3
was,3
which,3
would,3
bear,2
bite,2
built,2
carrot,2
cereal,2
clean,2
crying,2
dance,2
doesn't,2
drank,2
girls,2
has,2
have_to,2
he'll,2
her,2
horsie,2
hose,2
hurts,2
jump,2
keys,2
knocked,2
left,2
listen,2
lunch,2
made,2
making,2
man's,2
means,2
mine,2
new,2
nobody's,2
now,2
pear,2
play,2
push,2
remember,2
save,2
set,2
sharp,2
she's,2
shoes,2
singing,2
sits,2
something,2
song,2
such,2
sure,2
sweeping,2
tall,2
these,2
those,2
tiger,2
wait,2
well,2
wheels,2
when,2
ya,2
yeah,2
Bloom,1
Desimone,1
I'd,1
Jane,1
Mommy,1
Mrs,1
Sunday,1
a_lot_of,1
airplane,1
already,1
alright,1
also,1
animal,1
aquarium,1
asks,1
babies,1
back,1
bath,1
because,1
better,1
biting,1
blanket,1
both,1
button,1
by,1
came,1
cat,1
changing,1
children,1
cleaning,1
cocoa,1
cut,1
doll,1
dry,1
elephant,1
far,1
favorite,1
favorites,1
fine,1
fits,1
forgot,1
gone,1
hi,1
high,1
ho,1
home,1
horse,1
idea,1
impressed,1
instead,1
isn't,1
just,1
key,1
lady,1
leave,1
light,1
loves,1
makes,1
may,1
merry,1
missing,1
mommy's,1
monkey,1
need,1
nothing,1
once,1
ouch,1
ow,1
park,1
past,1
pick,1
piece,1
pussy,1
say,1
seals,1
she,1
she'll,1
since,1
slides,1
snail,1
spilling,1
stand,1
standing,1
still,1
stop,1
stuck,1
talking,1
tank,1
telling,1
they're,1
tinker,1
too,1
two,1
uh,1
uhhuh,1
uhoh,1
water,1
where're,1
who'd,1
wrong,1
you'll,1
zip,1
zipper,1
