"filename","sex","age"
"Bates/Free20/amy20","female",20
"Bates/Free20/betty20","female",20
"Bates/Free20/chuck20","male",20
"Bates/Free20/doug20","male",20
"Bates/Free20/ed20","male",20
"Bates/Free20/frank20","male",20
"Bates/Free20/gloria20","female",22
"Bates/Free20/hank20","male",20
"Bates/Free20/ivy20","female",20
"Bates/Free20/jane20","female",20
"Bates/Free20/jim20","male",20
"Bates/Free20/kathy20","female",20
"Bates/Free20/keith20","male",20
"Bates/Free20/kent20","male",20
"Bates/Free20/linda20","female",20
"Bates/Free20/mandy20","female",20
"Bates/Free20/nan20","female",20
"Bates/Free20/olivia20","female",20
"Bates/Free20/paula20","female",20
"Bates/Free20/pete20","male",20
"Bates/Free20/ruth20","female",20
"Bates/Free20/steve20","male",20
"Bates/Free20/sue20","female",20
"Bates/Free20/tom20","male",20
"Bates/Free20/vicki20","female",20
"Bates/Free20/wanda20","female",20
"Bates/Free20/will20","male",20
"Bates/Free20/zeke20","male",20
"Bates/Free28/amy28","female",28
"Bates/Free28/betty28","female",28
"Bates/Free28/chuck28","male",28
"Bates/Free28/doug28","male",28
"Bates/Free28/ed28","male",28
"Bates/Free28/frank28","male",28
"Bates/Free28/george28","male",28
"Bates/Free28/gloria28","female",28
"Bates/Free28/hank28","male",28
"Bates/Free28/ivy28","female",28
"Bates/Free28/jane28","female",28
"Bates/Free28/jim28","male",28
"Bates/Free28/kathy28","female",28
"Bates/Free28/keith28","male",28
"Bates/Free28/kent28","male",28
"Bates/Free28/linda28","female",28
"Bates/Free28/mandy28","female",28
"Bates/Free28/nan28","female",28
"Bates/Free28/olivia28","female",28
"Bates/Free28/paula28","female",28
"Bates/Free28/pete28","male",28
"Bates/Free28/rick28","male",28
"Bates/Free28/ruth28","female",28
"Bates/Free28/steve28","male",28
"Bates/Free28/sue28","female",28
"Bates/Free28/tom28","male",28
"Bates/Free28/vicki28","female",28
"Bates/Free28/wanda28","female",28
"Bates/Free28/will28","male",28
"Bates/Free28/zeke28","male",28
"Bates/Snack28/amy","female",28
"Bates/Snack28/betty","female",28
"Bates/Snack28/chuck","male",28
"Bates/Snack28/doug","male",28
"Bates/Snack28/ed","male",28
"Bates/Snack28/frank","male",28
"Bates/Snack28/gloria","female",28
"Bates/Snack28/hank","male",28
"Bates/Snack28/ivy","female",28
"Bates/Snack28/jane","female",28
"Bates/Snack28/jim","male",28
"Bates/Snack28/kathy","female",28
"Bates/Snack28/keith","male",28
