"language","filename","sex","notes"
"Danish","Danish/Plunkett/Anne/anne09","female",
"Danish","Danish/Plunkett/Anne/anne10","female",
"Danish","Danish/Plunkett/Anne/anne11","female",
"Danish","Danish/Plunkett/Anne/anne12","female",
"Danish","Danish/Plunkett/Anne/anne13","female",
"Danish","Danish/Plunkett/Anne/anne14","female",
"Danish","Danish/Plunkett/Anne/anne15","female",
"Danish","Danish/Plunkett/Anne/anne16","female",
"Danish","Danish/Plunkett/Anne/anne17","female",
"Danish","Danish/Plunkett/Anne/anne18","female",
"Danish","Danish/Plunkett/Anne/anne19","female",
"Danish","Danish/Plunkett/Anne/anne20","female",
"Danish","Danish/Plunkett/Anne/anne21","female",
"Danish","Danish/Plunkett/Anne/anne22","female",
"Danish","Danish/Plunkett/Anne/anne23","female",
"Danish","Danish/Plunkett/Anne/anne24","female",
"Danish","Danish/Plunkett/Anne/anne25","female",
"Danish","Danish/Plunkett/Anne/anne26","female",
"Danish","Danish/Plunkett/Anne/anne27","female",
"Danish","Danish/Plunkett/Anne/anne28","female",
"Danish","Danish/Plunkett/Anne/anne29","female",
"Danish","Danish/Plunkett/Anne/anne30","female",
"Danish","Danish/Plunkett/Anne/anne31","female",
"Danish","Danish/Plunkett/Anne/anne32","female",
"Danish","Danish/Plunkett/Anne/anne33","female",
"Danish","Danish/Plunkett/Anne/anne34","female",
"Danish","Danish/Plunkett/Anne/anne35","female",
"Danish","Danish/Plunkett/Anne/anne36","female",
"Danish","Danish/Plunkett/Anne/anne37","female",
"Danish","Danish/Plunkett/Anne/anne38","female",
"Danish","Danish/Plunkett/Anne/anne39","female",
"Danish","Danish/Plunkett/Anne/anne40","female",
"Danish","Danish/Plunkett/Anne/anne41","female",
"Danish","Danish/Plunkett/Anne/anne42","female",
"Danish","Danish/Plunkett/Anne/anne43","female",
"Danish","Danish/Plunkett/Anne/anne44","female",
"Danish","Danish/Plunkett/Anne/anne45","female",
"Danish","Danish/Plunkett/Anne/anne48","female",
"Danish","Danish/Plunkett/Anne/anne49","female",
"Danish","Danish/Plunkett/Anne/anne50","female",
"Danish","Danish/Plunkett/Anne/anne51","female",
"Danish","Danish/Plunkett/Jens/jens01","male",
"Danish","Danish/Plunkett/Jens/jens02","male",
"Danish","Danish/Plunkett/Jens/jens04","male",
"Danish","Danish/Plunkett/Jens/jens05","male",
"Danish","Danish/Plunkett/Jens/jens06","male",
"Danish","Danish/Plunkett/Jens/jens07","male",
"Danish","Danish/Plunkett/Jens/jens08","male",
"Danish","Danish/Plunkett/Jens/jens09","male",
"Danish","Danish/Plunkett/Jens/jens10","male",
"Danish","Danish/Plunkett/Jens/jens11","male",
"Danish","Danish/Plunkett/Jens/jens12","male",
"Danish","Danish/Plunkett/Jens/jens13","male",
"Danish","Danish/Plunkett/Jens/jens14","male",
"Danish","Danish/Plunkett/Jens/jens15","male",
"Danish","Danish/Plunkett/Jens/jens16","male",
"Danish","Danish/Plunkett/Jens/jens17","male",
"Danish","Danish/Plunkett/Jens/jens18","male",
"Danish","Danish/Plunkett/Jens/jens19","male",
"Danish","Danish/Plunkett/Jens/jens20","male",
"Danish","Danish/Plunkett/Jens/jens21","male",
"Danish","Danish/Plunkett/Jens/jens22","male",
"Danish","Danish/Plunkett/Jens/jens23","male",
"Danish","Danish/Plunkett/Jens/jens24","male",
"Danish","Danish/Plunkett/Jens/jens25","male",
"Danish","Danish/Plunkett/Jens/jens26","male",
"Danish","Danish/Plunkett/Jens/jens27","male",
"Danish","Danish/Plunkett/Jens/jens28","male",
"Danish","Danish/Plunkett/Jens/jens29","male",
"Danish","Danish/Plunkett/Jens/jens30","male",
"Danish","Danish/Plunkett/Jens/jens31","male",
"Danish","Danish/Plunkett/Jens/jens32","male",
"Danish","Danish/Plunkett/Jens/jens33","male",
"Danish","Danish/Plunkett/Jens/jens34","male",
"Danish","Danish/Plunkett/Jens/jens35","male",
"Danish","Danish/Plunkett/Jens/jens36","male",
"Danish","Danish/Plunkett/Jens/jens37","male",
"Danish","Danish/Plunkett/Jens/jens38","male",
"Danish","Danish/Plunkett/Jens/jens39","male",
"Danish","Danish/Plunkett/Jens/jens40","male",
"Danish","Danish/Plunkett/Jens/jens41","male",
"Danish","Danish/Plunkett/Jens/jens42","male",
"Danish","Danish/Plunkett/Jens/jens43","male",
"Danish","Danish/Plunkett/Jens/jens44","male",
"Danish","Danish/Plunkett/Jens/jens45","male",
"Danish","Danish/Plunkett/Jens/jens46","male",
"Danish","Danish/Plunkett/Jens/jens47","male",
"Danish","Danish/Plunkett/Jens/jens48","male",
"Danish","Danish/Plunkett/Jens/jens49","male",
"Danish","Danish/Plunkett/Jens/jens50","male",
"Danish","Danish/Plunkett/Jens/jens51","male",
"Danish","Danish/Plunkett/Jens/jens52","male",
"Danish","Danish/Plunkett/Jens/jens53","male",
"Danish","Danish/Plunkett/Jens/jens54","male",
"Danish","Danish/Plunkett/Jens/jens55","male",
"Danish","Danish/Plunkett/Jens/jens56","male",
"Danish","Danish/Plunkett/Jens/jens57","male",
"Danish","Danish/Plunkett/Jens/jens58","male",
"Danish","Danish/Plunkett/Jens/jens59","male",
"English","English/Eng-NA-MOR/Bernstein/Children/Amelia/amelia3","female",
"English","English/Eng-NA-MOR/Bernstein/Children/Cindy/cindy1","female",
"English","English/Eng-NA-MOR/Bernstein/Children/Kay/kay2","female",
"English","English/Eng-NA-MOR/Bernstein/Interview/alice1","female",
"English","English/Eng-NA-MOR/Bernstein/Interview/alice3","female",
"English","English/Eng-NA-MOR/Bernstein/Interview/amelia1","female",
"English","English/Eng-NA-MOR/Bernstein/Interview/amelia2","female",
"English","English/Eng-NA-MOR/Bernstein/Interview/amelia3","female",
"English","English/Eng-NA-MOR/Bernstein/Interview/anne1","female",
"English","English/Eng-NA-MOR/Bernstein/Interview/anne2","female",
"English","English/Eng-NA-MOR/Bernstein/Interview/anne3","female",
"English","English/Eng-NA-MOR/Bernstein/Interview/cindy1","female",
"English","English/Eng-NA-MOR/Bernstein/Interview/cindy2","female",
"English","English/Eng-NA-MOR/Bernstein/Interview/cindy3","female",
"English","English/Eng-NA-MOR/Bernstein/Interview/dale1","female",
"English","English/Eng-NA-MOR/Bernstein/Interview/dale2","female",
"English","English/Eng-NA-MOR/Bernstein/Interview/dale3","female",
"English","English/Eng-NA-MOR/Bernstein/Interview/gail2","female",
"English","English/Eng-NA-MOR/Bernstein/Interview/gail3","female",
"English","English/Eng-NA-MOR/Bernstein/Interview/kay2","female",
"English","English/Eng-NA-MOR/Bernstein/Interview/kay3","female",
"English","English/Eng-NA-MOR/Bernstein/Interview/lena2","female",
"English","English/Eng-NA-MOR/Bernstein/Interview/lena3","female",
"English","English/Eng-NA-MOR/Bernstein/Interview/marie1","female",
"English","English/Eng-NA-MOR/Bernstein/Interview/marie2","female",
"English","English/Eng-NA-MOR/Bernstein/Interview/marie3","female",
"English","English/Eng-NA-MOR/Bloom70/Peter/06","male",
"English","English/Eng-NA-MOR/Bloom70/Peter/11","male",
"English","English/Eng-NA-MOR/Brent/c1/c1-0930","female",
"English","English/Eng-NA-MOR/Brent/d1/d1-0925","female",
"English","English/Eng-NA-MOR/Brent/f1/f1-0910","male",
"English","English/Eng-NA-MOR/Brent/f1/f1-1206","male",
"English","English/Eng-NA-MOR/Brent/f1/f1-1318","male",
"English","English/Eng-NA-MOR/Brent/f2/f2-0827","female",
"English","English/Eng-NA-MOR/Brent/f2/f2-0927","female",
"English","English/Eng-NA-MOR/Brent/f2/f2-1121","female",
"English","English/Eng-NA-MOR/Brent/f2/f2-1303","female",
"English","English/Eng-NA-MOR/Brent/j1/j1-1023","male",
"English","English/Eng-NA-MOR/Brent/j1/j1-1115","male",
"English","English/Eng-NA-MOR/Brent/j1/j1-1214","male",
"English","English/Eng-NA-MOR/Brent/j1/j1-1229","male",
"English","English/Eng-NA-MOR/Brent/m2/m2-0907","male",
"English","English/Eng-NA-MOR/Brent/m2/m2-0928","male",
"English","English/Eng-NA-MOR/Brent/m2/m2-1113","male",
"English","English/Eng-NA-MOR/Brent/m2/m2-1223","male",
"English","English/Eng-NA-MOR/Brent/m2/m2-1322","male",
"English","English/Eng-NA-MOR/Brent/q1/q1-0900","female",
"English","English/Eng-NA-MOR/Brent/q1/q1-1012","female",
"English","English/Eng-NA-MOR/Brent/q1/q1-1026","female",
"English","English/Eng-NA-MOR/Brent/q1/q1-1109","female",
"English","English/Eng-NA-MOR/Brent/q1/q1-1128","female",
"English","English/Eng-NA-MOR/Brent/s1/s1-1001","male",
"English","English/Eng-NA-MOR/Brent/s2/s2-0905","female",
"English","English/Eng-NA-MOR/Brent/s2/s2-1206","female",
"English","English/Eng-NA-MOR/Brent/s2/s2-1404","female",
"English","English/Eng-NA-MOR/Brent/s3/s3-0913","male",
"English","English/Eng-NA-MOR/Brent/s3/s3-1028","male",
"English","English/Eng-NA-MOR/Brent/s3/s3-1128","male",
"English","English/Eng-NA-MOR/Brent/s3/s3-1209","male",
"English","English/Eng-NA-MOR/Brent/t1/t1-0830","male",
"English","English/Eng-NA-MOR/Brent/t1/t1-1025","male",
"English","English/Eng-NA-MOR/Brent/v1/v1-0910","male",
"English","English/Eng-NA-MOR/Brent/v1/v1-1305","male",
"English","English/Eng-NA-MOR/Brent/v1/v1-1403","male",
"English","English/Eng-NA-MOR/Brent/v2/v2-0903","male",
"English","English/Eng-NA-MOR/Brent/v2/v2-1014","male",
"English","English/Eng-NA-MOR/Brent/v2/v2-1223","male",
"English","English/Eng-NA-MOR/Brent/v2/v2-1307","male",
"English","English/Eng-NA-MOR/Brent/v2/v2-1508","male",
"English","English/Eng-NA-MOR/Brent/w1/w1-1005","female",
"English","English/Eng-NA-MOR/Brent/w1/w1-1123","female",
"English","English/Eng-NA-MOR/Brent/w1/w1-1206","female",
"English","English/Eng-NA-MOR/Brent/w3/w3-1122","male",
"English","English/Eng-NA-MOR/Carterette/adult",,"not codable"
"English","English/Eng-NA-MOR/Carterette/fifth",,"not codable"
"English","English/Eng-NA-MOR/Carterette/first",,"not codable"
"English","English/Eng-NA-MOR/Carterette/third",,"not codable"
"English","English/Eng-NA-MOR/Cornell/haas1917","female",
"English","English/Eng-NA-MOR/Cornell/haas1918","female",
"English","English/Eng-NA-MOR/Cornell/haas1919","female",
"English","English/Eng-NA-MOR/Cornell/haas1920","female",
